	logFC	logCPM	PValue	FDR
NODE_31950_length_891_cov_15.926887_g4516_i1	8.48479605844321	11.1798622863817	2.1384648531534e-80	3.69398418733718e-76
NODE_43320_length_546_cov_49.280318_g28296_i0	7.68788394194646	12.8380913867467	3.21384002556786e-75	2.77579363008296e-71
NODE_62988_length_245_cov_3.297030_g47778_i0	8.12621033941589	10.3955815841132	9.96720037878582e-70	5.73911397810488e-66
NODE_41062_length_608_cov_25.053097_g26312_i0	7.50679476348392	11.4967552396683	2.88676902085054e-69	1.24665120165431e-65
NODE_39673_length_647_cov_4.359272_g25181_i0	7.88160331518226	9.00562034679148	3.58993844987017e-65	1.24025193566115e-61
NODE_40465_length_625_cov_10.733677_g25825_i0	7.01976661649628	10.9462469086053	9.9035070267168e-64	2.85121967299177e-60
NODE_36954_length_727_cov_68.980994_g23083_i0	6.81870007372155	11.9261767664052	1.43238608307808e-63	3.53471959987011e-60
NODE_44480_length_517_cov_6.251055_g29365_i0	7.19796404475478	10.3320539077207	1.28000472649617e-62	2.76385020568685e-59
NODE_31149_length_919_cov_13.807078_g19030_i0	6.82611382821396	11.0396240121727	3.62094774440053e-60	6.94980570408608e-57
NODE_39204_length_660_cov_57.051864_g24799_i0	6.40702282583373	11.4429988553029	1.2124374159691e-57	2.09436439234502e-54
NODE_49363_length_406_cov_22.055096_g34160_i0	6.2998817004785	12.2725965105276	1.0402797659808e-56	1.63361751614112e-53
NODE_43205_length_549_cov_11.590909_g28187_i0	6.39071105448301	11.6358524080208	1.7654007176063e-55	2.54129433299427e-52
NODE_67879_length_216_cov_1.179191_g52669_i0	6.77353687437962	8.83303315682804	7.7760521587243e-53	1.03325788453695e-49
NODE_66077_length_225_cov_4.686813_g50867_i0	6.4207249224308	11.3012679082806	2.55748905193745e-51	3.15557613451197e-48
NODE_38262_length_689_cov_4.258514_g24065_i0	6.41709689799499	10.9990940064201	2.50525353257404e-50	2.88504996811226e-47
NODE_21971_length_1289_cov_9.379615_g13488_i0	6.30164899106191	10.0176593929781	5.38094898715636e-50	5.80940705025868e-47
NODE_72006_length_198_cov_1.200000_g56796_i0	6.19747415097897	8.16083741476069	2.91711916933726e-44	2.96413626653716e-41
NODE_18127_length_1476_cov_682.860433_g11199_i0	-6.02612665946076	7.28631670184346	4.31493234326114e-43	4.14089673874961e-40
NODE_6215_length_2412_cov_985.177712_g1972_i1	-5.53245351189823	8.00831904294375	1.2645798795591e-42	1.14970278102652e-39
NODE_29325_length_986_cov_589.162248_g17881_i0	-5.80186821154162	7.46520616043262	3.17452822346377e-42	2.74184002660566e-39
NODE_27923_length_1039_cov_23.360442_g17022_i0	5.23447308578645	9.27801486583955	3.76911275979647e-41	3.10036446727258e-38
NODE_9270_length_2070_cov_1007.095708_g5879_i0	-5.2668460030415	8.01797333941824	1.4772041116899e-40	1.15987381024233e-37
NODE_98550_length_124_cov_14.049383_g83340_i0	4.91706606376013	11.62713837764	5.92485222274551e-40	4.44982162155243e-37
NODE_74584_length_188_cov_1.779310_g59374_i0	5.7176443043336	8.17035274489083	9.64553712688208e-40	6.94237534707338e-37
NODE_94546_length_147_cov_1.355769_g79336_i0	5.75834746357703	8.33330893793358	1.63386414536195e-38	1.1289347698793e-35
NODE_36775_length_733_cov_529.801449_g22950_i0	-5.38581735647166	7.26276327216596	2.91796769880175e-38	1.93865284727313e-35
NODE_36231_length_749_cov_6.804533_g22531_i0	5.56060071187217	7.64089737875851	5.24074233891227e-38	3.3529104874952e-35
NODE_12265_length_1832_cov_676.195640_g7702_i0	-5.14548037798718	7.52665997156849	7.35912623500577e-38	4.54005523512463e-35
NODE_98656_length_103_cov_123.767123_g83446_i0	4.67935651485894	10.0647068218918	2.84127071781341e-37	1.69241759929341e-34
NODE_35569_length_769_cov_1288.976584_g22055_i0	-4.75214614670087	8.62417455510078	4.79731163945594e-37	2.76229204199873e-34
NODE_89861_length_152_cov_1.917431_g74651_i0	5.86148100172939	7.97030505596046	5.45938316249374e-37	3.04210918544893e-34
NODE_13606_length_1739_cov_39.109670_g8500_i0	4.88508749210675	8.48002775390426	5.68282364738494e-37	3.06765924015398e-34
NODE_35963_length_757_cov_29.320728_g22347_i0	5.02105415130405	9.5822181985649	2.43097182434688e-36	1.2725032513263e-33
NODE_7198_length_2288_cov_613.037416_g2483_i1	-5.07568424679024	7.10030071535851	5.83374530321971e-36	2.96388577552404e-33
NODE_22985_length_1242_cov_11.180984_g14060_i0	5.06173756849285	7.3355297136723	6.384929585315e-34	3.15123639019232e-31
NODE_24940_length_1158_cov_14.417937_g15231_i0	4.80985902618434	7.41993302631156	1.14543673808143e-33	5.43722412992596e-31
NODE_11330_length_1901_cov_493.764263_g7145_i0	-4.9767454153719	6.90754171834501	1.16462482810733e-33	5.43722412992596e-31
NODE_19588_length_1399_cov_1151.048673_g11230_i1	-4.50118479903099	8.12172828213177	3.89061179264405e-33	1.7685902133193e-30
NODE_2310_length_3295_cov_511.580566_g905_i2	-4.84190518713895	7.11208657120714	6.87336597719302e-33	3.04437240743673e-30
NODE_3530_length_2906_cov_309.474328_g2265_i0	-5.17385101313934	6.47721905958846	8.09683797498178e-33	3.49661947949588e-30
NODE_26535_length_1093_cov_422.249524_g16190_i0	-4.97038594075222	6.71154973494437	1.16021297071785e-32	4.88817533077564e-30
NODE_41122_length_606_cov_258.790409_g26366_i0	4.25248854256697	10.2839581534872	1.44205195693121e-32	5.93095369143563e-30
NODE_7645_length_2236_cov_938.258094_g1909_i1	-4.41979866057463	7.86489341231554	5.78465375405579e-32	2.32381648715255e-29
NODE_18804_length_1441_cov_8.155937_g11619_i0	4.96728842971423	7.52446784778117	6.79246808489835e-32	2.66666122042123e-29
NODE_32602_length_868_cov_1084.520000_g19990_i0	-4.53668286366212	7.52217520679992	7.08698568110516e-32	2.72045757012023e-29
NODE_12528_length_1813_cov_354.261582_g1527_i1	-4.95520427995398	6.51837498869422	1.33505683396099e-31	4.90826180581047e-29
NODE_25270_length_1144_cov_611.584015_g15430_i0	-4.54486002977446	7.42107519000589	1.33546546759924e-31	4.90826180581047e-29
NODE_32902_length_858_cov_533.749693_g20191_i0	-4.75769050368278	6.74671709185652	2.29410977859369e-31	8.25592756571403e-29
NODE_36350_length_745_cov_1524.804843_g22623_i0	-4.26981271120041	8.58489959490496	2.57287101688152e-31	9.07015794808395e-29
NODE_14429_length_1685_cov_393.440317_g8992_i0	-4.70572220956748	6.85677558857576	2.9266964950148e-31	1.01111510509771e-28
NODE_44386_length_519_cov_12.363445_g29281_i0	4.7380300798452	8.54701305415939	4.23511395859649e-31	1.43445801021168e-28
NODE_40248_length_631_cov_278.336735_g25637_i0	-4.83746489204303	6.70948173873656	5.96592862357387e-31	1.9818355969926e-28
NODE_44129_length_526_cov_15.511387_g29038_i0	4.96975537891282	7.26256149284431	7.05459660420038e-31	2.2992660705841e-28
NODE_8074_length_2191_cov_645.687616_g5124_i0	-4.42236565641811	7.38940061717061	1.14454478205043e-30	3.66127158613688e-28
NODE_19879_length_1385_cov_727.362891_g3788_i1	-4.27757037644665	7.71900912785172	4.75412812972409e-30	1.49314198750644e-27
NODE_40369_length_628_cov_9.213675_g25740_i0	5.02794711389211	7.68124850317768	1.16140462319528e-29	3.58251847519202e-27
NODE_95325_length_146_cov_1.766990_g80115_i0	4.81286324388006	7.92084054901142	2.5215508631824e-29	7.64162624747592e-27
