	logFC	logCPM	PValue	FDR
NODE_43320_length_546_cov_49.280318_g28296_i0	6.97208360216856	12.8380913867467	3.22516950981242e-65	5.57115781124998e-61
NODE_41062_length_608_cov_25.053097_g26312_i0	6.86473065362194	11.4967552396683	5.50501357086424e-61	4.75468022115544e-57
NODE_31950_length_891_cov_15.926887_g4516_i1	6.38618479949183	11.1798622863817	2.23829127439921e-54	1.28880811579906e-50
NODE_40465_length_625_cov_10.733677_g25825_i0	6.04605336752613	10.9462469086053	1.33013552083168e-49	5.74419024671159e-46
NODE_12265_length_1832_cov_676.195640_g7702_i0	-6.51151627474418	7.52665997156849	4.94113788531722e-48	1.42871688813596e-44
NODE_36954_length_727_cov_68.980994_g23083_i0	5.59171964997478	11.9261767664052	4.96254563437291e-48	1.42871688813596e-44
NODE_67879_length_216_cov_1.179191_g52669_i0	6.4171905013271	8.83303315682804	1.52142831556828e-47	3.75445038901807e-44
NODE_35447_length_773_cov_1380.652055_g21967_i0	-5.66643732423704	8.85331010840729	9.28218715502427e-47	2.00425626144862e-43
NODE_39204_length_660_cov_57.051864_g24799_i0	5.47108996498224	11.4429988553029	4.6250570654444e-46	8.87702619427629e-43
NODE_6215_length_2412_cov_985.177712_g1972_i1	-5.8740866888138	8.00831904294375	6.34597335783869e-46	1.09620343783306e-42
NODE_29325_length_986_cov_589.162248_g17881_i0	-6.06456072746451	7.46520616043262	1.77970150739883e-44	2.79477853080068e-41
NODE_19588_length_1399_cov_1151.048673_g11230_i1	-5.61366850102338	8.12172828213177	5.28896143168384e-44	7.61345998090889e-41
NODE_9270_length_2070_cov_1007.095708_g5879_i0	-5.53515369703359	8.01797333941824	3.16602808080767e-43	4.20692069752859e-40
NODE_36775_length_733_cov_529.801449_g22950_i0	-5.90235879801663	7.26276327216596	5.41339596749056e-43	6.67935728160228e-40
NODE_2310_length_3295_cov_511.580566_g905_i2	-6.02405576674157	7.11208657120714	8.8202352893007e-43	1.01573829591587e-39
NODE_32602_length_868_cov_1084.520000_g19990_i0	-5.67262029647883	7.52217520679992	1.22236353960501e-41	1.31969423644605e-38
NODE_18127_length_1476_cov_682.860433_g11199_i0	-5.60554534416966	7.28631670184346	5.85800279908368e-40	5.95242002066891e-37
NODE_27923_length_1039_cov_23.360442_g17022_i0	5.30763753027317	9.27801486583955	3.43562444281318e-39	3.29705425695305e-36
NODE_7645_length_2236_cov_938.258094_g1909_i1	-5.10200798424813	7.86489341231554	1.19621895810031e-38	1.08755190959077e-35
NODE_72006_length_198_cov_1.200000_g56796_i0	5.59844406487248	8.16083741476069	5.24074233891227e-38	4.52642915811852e-35
NODE_1754_length_3544_cov_521.978578_g744_i2	-5.41121492933051	6.97496468338342	2.30015112756411e-37	1.89203859893059e-34
NODE_26535_length_1093_cov_422.249524_g16190_i0	-5.65183534318937	6.71154973494437	6.94491149538621e-37	5.45301823505915e-34
NODE_14429_length_1685_cov_393.440317_g8992_i0	-5.3501855077299	6.85677558857576	1.19760371728025e-36	8.99452461404307e-34
NODE_7198_length_2288_cov_613.037416_g2483_i1	-5.15731145925853	7.10030071535851	5.84034202171186e-36	4.20358617012711e-33
NODE_1485_length_3691_cov_369.796875_g422_i2	-5.3965973428014	6.5411719768797	4.4179817524302e-35	3.05264867165917e-32
NODE_11330_length_1901_cov_493.764263_g7145_i0	-5.1682272436455	6.90754171834501	5.11210536399698e-35	3.39640415606476e-32
NODE_3530_length_2906_cov_309.474328_g2265_i0	-5.45879692479149	6.47721905958846	9.15769407382798e-35	5.85888916412239e-32
NODE_12528_length_1813_cov_354.261582_g1527_i1	-5.27245387272493	6.51837498869422	1.89705337923324e-34	1.1703464311741e-31
NODE_19879_length_1385_cov_727.362891_g3788_i1	-4.64959036534589	7.71900912785172	2.9978422585466e-34	1.78568024738393e-31
NODE_12214_length_1836_cov_447.005577_g7673_i0	-5.1160186895718	6.8921012344113	3.48369895995483e-34	2.00591386114199e-31
NODE_31689_length_899_cov_410.827103_g11418_i4	-5.04977414489582	6.67546462556042	1.79602772148636e-33	9.92574669342555e-31
NODE_17973_length_1484_cov_511.437196_g11122_i0	-5.2709710223099	6.3717884002882	1.83873969080478e-33	9.92574669342555e-31
NODE_3680_length_2867_cov_318.481941_g2135_i1	-5.16493062360056	6.44105432522344	4.64420240667089e-33	2.36462691818789e-30
NODE_28965_length_999_cov_1414.706067_g17650_i0	-4.6049734446891	7.63076098714104	4.65423846349359e-33	2.36462691818789e-30
NODE_8074_length_2191_cov_645.687616_g5124_i0	-4.56795427163129	7.38940061717061	1.01439238805286e-32	5.00646117463574e-30
