	x
1	NODE_12265_length_1832_cov_676.195640_g7702_i0
2	NODE_35447_length_773_cov_1380.652055_g21967_i0
3	NODE_6215_length_2412_cov_985.177712_g1972_i1
4	NODE_29325_length_986_cov_589.162248_g17881_i0
5	NODE_19588_length_1399_cov_1151.048673_g11230_i1
6	NODE_9270_length_2070_cov_1007.095708_g5879_i0
7	NODE_36775_length_733_cov_529.801449_g22950_i0
8	NODE_2310_length_3295_cov_511.580566_g905_i2
9	NODE_32602_length_868_cov_1084.520000_g19990_i0
10	NODE_18127_length_1476_cov_682.860433_g11199_i0
11	NODE_7645_length_2236_cov_938.258094_g1909_i1
12	NODE_1754_length_3544_cov_521.978578_g744_i2
13	NODE_26535_length_1093_cov_422.249524_g16190_i0
14	NODE_14429_length_1685_cov_393.440317_g8992_i0
15	NODE_7198_length_2288_cov_613.037416_g2483_i1
16	NODE_1485_length_3691_cov_369.796875_g422_i2
17	NODE_11330_length_1901_cov_493.764263_g7145_i0
18	NODE_3530_length_2906_cov_309.474328_g2265_i0
19	NODE_12528_length_1813_cov_354.261582_g1527_i1
20	NODE_19879_length_1385_cov_727.362891_g3788_i1
21	NODE_12214_length_1836_cov_447.005577_g7673_i0
22	NODE_31689_length_899_cov_410.827103_g11418_i4
23	NODE_17973_length_1484_cov_511.437196_g11122_i0
24	NODE_3680_length_2867_cov_318.481941_g2135_i1
25	NODE_28965_length_999_cov_1414.706067_g17650_i0
26	NODE_8074_length_2191_cov_645.687616_g5124_i0
27	NODE_11193_length_1911_cov_255.154176_g5726_i1
28	NODE_14535_length_1677_cov_318.499388_g6302_i2
29	NODE_17974_length_1484_cov_510.761971_g11122_i1
30	NODE_32902_length_858_cov_533.749693_g20191_i0
31	NODE_21266_length_1318_cov_420.167059_g13063_i0
32	NODE_16825_length_1546_cov_258.330007_g10454_i0
33	NODE_27253_length_1064_cov_3758.840353_g16608_i0
34	NODE_30433_length_942_cov_415.781980_g18593_i0
35	NODE_7205_length_2286_cov_354.069104_g2248_i1
36	NODE_6655_length_2355_cov_409.028114_g1425_i4
37	NODE_13299_length_1760_cov_460.525335_g8306_i0
38	NODE_14430_length_1685_cov_377.307552_g8993_i0
39	NODE_12698_length_1800_cov_635.972681_g3796_i2
40	NODE_45597_length_490_cov_644.738255_g30442_i0
41	NODE_7846_length_2216_cov_178.610676_g3736_i2
42	NODE_27252_length_1064_cov_3796.830558_g16607_i0
43	NODE_25221_length_1146_cov_276.533092_g15404_i0
44	NODE_75396_length_185_cov_2036.119718_g60186_i0
45	NODE_19837_length_1387_cov_272.506696_g1151_i1
46	NODE_34184_length_815_cov_461.388601_g15325_i3
47	NODE_7018_length_2308_cov_379.790728_g4485_i0
48	NODE_17810_length_1493_cov_244.595862_g5766_i2
49	NODE_1018_length_4013_cov_227.603275_g678_i0
50	NODE_36917_length_728_cov_1275.221898_g23057_i0
51	NODE_29460_length_981_cov_677.765458_g17967_i0
52	NODE_12460_length_1818_cov_234.687324_g4248_i1
53	NODE_7686_length_2232_cov_319.641846_g2260_i6
54	NODE_53587_length_337_cov_330.537415_g38377_i0
55	NODE_739_length_4310_cov_334.348254_g477_i1
56	NODE_19733_length_1391_cov_189.058605_g12158_i0
57	NODE_21240_length_1319_cov_280.028213_g2346_i7
