	x
1	NODE_31950_length_891_cov_15.926887_g4516_i1
2	NODE_43320_length_546_cov_49.280318_g28296_i0
3	NODE_62988_length_245_cov_3.297030_g47778_i0
4	NODE_41062_length_608_cov_25.053097_g26312_i0
5	NODE_39673_length_647_cov_4.359272_g25181_i0
6	NODE_40465_length_625_cov_10.733677_g25825_i0
7	NODE_36954_length_727_cov_68.980994_g23083_i0
8	NODE_44480_length_517_cov_6.251055_g29365_i0
9	NODE_31149_length_919_cov_13.807078_g19030_i0
10	NODE_39204_length_660_cov_57.051864_g24799_i0
11	NODE_49363_length_406_cov_22.055096_g34160_i0
12	NODE_43205_length_549_cov_11.590909_g28187_i0
13	NODE_67879_length_216_cov_1.179191_g52669_i0
14	NODE_66077_length_225_cov_4.686813_g50867_i0
15	NODE_38262_length_689_cov_4.258514_g24065_i0
16	NODE_21971_length_1289_cov_9.379615_g13488_i0
17	NODE_72006_length_198_cov_1.200000_g56796_i0
18	NODE_27923_length_1039_cov_23.360442_g17022_i0
19	NODE_98550_length_124_cov_14.049383_g83340_i0
20	NODE_74584_length_188_cov_1.779310_g59374_i0
21	NODE_94546_length_147_cov_1.355769_g79336_i0
22	NODE_36231_length_749_cov_6.804533_g22531_i0
23	NODE_98656_length_103_cov_123.767123_g83446_i0
24	NODE_89861_length_152_cov_1.917431_g74651_i0
25	NODE_13606_length_1739_cov_39.109670_g8500_i0
26	NODE_35963_length_757_cov_29.320728_g22347_i0
27	NODE_22985_length_1242_cov_11.180984_g14060_i0
28	NODE_24940_length_1158_cov_14.417937_g15231_i0
29	NODE_41122_length_606_cov_258.790409_g26366_i0
30	NODE_18804_length_1441_cov_8.155937_g11619_i0
31	NODE_44386_length_519_cov_12.363445_g29281_i0
32	NODE_44129_length_526_cov_15.511387_g29038_i0
33	NODE_40369_length_628_cov_9.213675_g25740_i0
34	NODE_95325_length_146_cov_1.766990_g80115_i0
35	NODE_21125_length_1324_cov_9.497268_g12984_i0
36	NODE_35174_length_782_cov_51.595399_g21762_i0
37	NODE_18768_length_1442_cov_114.355254_g11598_i0
38	NODE_29457_length_982_cov_4.108626_g17964_i0
39	NODE_59134_length_275_cov_4.353448_g43924_i0
40	NODE_27822_length_1044_cov_3.602398_g16959_i0
41	NODE_38731_length_675_cov_5.452532_g24430_i0
42	NODE_48678_length_420_cov_4.870027_g33479_i0
43	NODE_13528_length_1745_cov_5.075793_g8456_i0
44	NODE_45761_length_486_cov_15.934537_g30600_i0
45	NODE_74589_length_188_cov_1.765517_g59379_i0
46	NODE_27661_length_1050_cov_30.927507_g16850_i0
47	NODE_42528_length_567_cov_77.160305_g27575_i0
48	NODE_69615_length_208_cov_1.175758_g54405_i0
49	NODE_27682_length_1049_cov_11.080517_g16864_i0
50	NODE_19266_length_1416_cov_17.783685_g11882_i0
51	NODE_26751_length_1085_cov_10.846449_g16309_i0
52	NODE_42071_length_579_cov_42.807836_g24703_i1
53	NODE_32328_length_878_cov_4.749701_g19797_i0
54	NODE_13120_length_1773_cov_16.747399_g8197_i0
55	NODE_28708_length_1008_cov_11.932642_g17492_i0
56	NODE_31453_length_908_cov_8.701734_g19223_i0
57	NODE_44611_length_514_cov_6.535032_g29486_i0
58	NODE_24145_length_1190_cov_56.949433_g14740_i0
59	NODE_11674_length_1874_cov_102.500819_g7356_i0
60	NODE_47830_length_438_cov_20.825316_g32637_i0
61	NODE_18083_length_1478_cov_115.593031_g11177_i0
62	NODE_22152_length_1280_cov_15.607114_g13600_i0
63	NODE_38750_length_674_cov_535.328051_g24449_i0
64	NODE_21833_length_1294_cov_74.805755_g13402_i0
65	NODE_33896_length_825_cov_17.841432_g20850_i0
66	NODE_14844_length_1657_cov_50.535936_g9259_i0
67	NODE_8266_length_2170_cov_42.325811_g5246_i0
68	NODE_39442_length_654_cov_59.602291_g20928_i1
69	NODE_46087_length_478_cov_11.370115_g30916_i0
70	NODE_6014_length_2439_cov_54.034224_g3861_i0
71	NODE_24791_length_1164_cov_17.360393_g15142_i0
72	NODE_20078_length_1375_cov_126.171171_g11022_i2
73	NODE_33980_length_822_cov_13.286264_g20911_i0
74	NODE_86363_length_159_cov_1.034483_g71153_i0
75	NODE_44197_length_524_cov_13.072765_g29104_i0
76	NODE_6257_length_2406_cov_20.955142_g4003_i0
77	NODE_77647_length_178_cov_5.111111_g62437_i0
78	NODE_5988_length_2443_cov_12.452917_g3839_i0
79	NODE_62488_length_249_cov_1.500000_g47278_i0
80	NODE_39510_length_652_cov_7.288998_g25047_i0
81	NODE_32378_length_876_cov_26.903962_g19836_i0
82	NODE_28762_length_1006_cov_12.245067_g17525_i0
83	NODE_24847_length_1162_cov_23.815907_g15180_i0
84	NODE_9273_length_2070_cov_31.804637_g5785_i1
85	NODE_47076_length_454_cov_7.540146_g31893_i0
86	NODE_19913_length_1384_cov_12.117823_g12270_i0
87	NODE_13934_length_1717_cov_65.115293_g8694_i0
88	NODE_24372_length_1181_cov_23.319859_g14881_i0
89	NODE_23731_length_1210_cov_46.872322_g10696_i1
90	NODE_46040_length_479_cov_25.075688_g30870_i0
91	NODE_35822_length_761_cov_33.168524_g22236_i0
92	NODE_19182_length_1420_cov_66.035585_g11838_i0
93	NODE_18218_length_1471_cov_28.097339_g11252_i0
94	NODE_26308_length_1102_cov_9.733711_g16070_i0
95	NODE_35247_length_780_cov_22.480326_g20490_i1
96	NODE_17769_length_1495_cov_108.212810_g10998_i0
97	NODE_81879_length_168_cov_0.904000_g66669_i0
98	NODE_19073_length_1425_cov_42.717077_g11780_i0
99	NODE_14106_length_1707_cov_49.156250_g8801_i0
100	NODE_30678_length_934_cov_50.439955_g18740_i0
101	NODE_18997_length_1430_cov_5.166547_g11738_i0
102	NODE_55312_length_315_cov_14.694853_g40102_i0
103	NODE_41167_length_605_cov_5.699288_g26399_i0
104	NODE_13677_length_1734_cov_44.763454_g8544_i0
105	NODE_13858_length_1722_cov_7.650387_g8651_i0
106	NODE_26153_length_1108_cov_13.680751_g15968_i0
107	NODE_23040_length_1240_cov_4.715121_g14094_i0
108	NODE_27592_length_1053_cov_9.263366_g16812_i0
109	NODE_43411_length_544_cov_26.612774_g28377_i0
110	NODE_93830_length_148_cov_0.895238_g78620_i0
111	NODE_41599_length_592_cov_9.488160_g26773_i0
112	NODE_12673_length_1802_cov_27.644116_g7949_i0
