	x
1	NODE_6215_length_2412_cov_985.177712_g1972_i1
2	NODE_9270_length_2070_cov_1007.095708_g5879_i0
3	NODE_12265_length_1832_cov_676.195640_g7702_i0
4	NODE_75396_length_185_cov_2036.119718_g60186_i0
5	NODE_40811_length_615_cov_1755.243007_g26105_i0
6	NODE_26535_length_1093_cov_422.249524_g16190_i0
7	NODE_36775_length_733_cov_529.801449_g22950_i0
8	NODE_29325_length_986_cov_589.162248_g17881_i0
9	NODE_32452_length_873_cov_743.454217_g19889_i0
10	NODE_18127_length_1476_cov_682.860433_g11199_i0
11	NODE_32902_length_858_cov_533.749693_g20191_i0
12	NODE_36917_length_728_cov_1275.221898_g23057_i0
13	NODE_16701_length_1553_cov_433.543709_g8499_i1
14	NODE_45344_length_496_cov_2476.869757_g30196_i0
15	NODE_40248_length_631_cov_278.336735_g25637_i0
16	NODE_35569_length_769_cov_1288.976584_g22055_i0
17	NODE_3530_length_2906_cov_309.474328_g2265_i0
18	NODE_7645_length_2236_cov_938.258094_g1909_i1
19	NODE_11330_length_1901_cov_493.764263_g7145_i0
20	NODE_8074_length_2191_cov_645.687616_g5124_i0
21	NODE_12528_length_1813_cov_354.261582_g1527_i1
22	NODE_27252_length_1064_cov_3796.830558_g16607_i0
23	NODE_22613_length_1259_cov_525.731086_g13851_i0
24	NODE_40458_length_625_cov_574.683849_g25819_i0
25	NODE_19588_length_1399_cov_1151.048673_g11230_i1
26	NODE_14429_length_1685_cov_393.440317_g8992_i0
27	NODE_12892_length_1787_cov_1841.569381_g5588_i3
28	NODE_2310_length_3295_cov_511.580566_g905_i2
29	NODE_32602_length_868_cov_1084.520000_g19990_i0
30	NODE_3680_length_2867_cov_318.481941_g2135_i1
31	NODE_19879_length_1385_cov_727.362891_g3788_i1
32	NODE_20805_length_1339_cov_620.347222_g12792_i0
33	NODE_24334_length_1182_cov_2130.460931_g14857_i0
34	NODE_7198_length_2288_cov_613.037416_g2483_i1
35	NODE_44227_length_523_cov_1671.602083_g29132_i0
36	NODE_1485_length_3691_cov_369.796875_g422_i2
37	NODE_26393_length_1098_cov_739.891943_g10023_i1
38	NODE_14430_length_1685_cov_377.307552_g8993_i0
39	NODE_33594_length_835_cov_294.549242_g20650_i0
40	NODE_7018_length_2308_cov_379.790728_g4485_i0
41	NODE_54902_length_320_cov_2613.548736_g39692_i0
42	NODE_28299_length_1023_cov_334.380612_g17237_i0
43	NODE_37207_length_720_cov_412.732644_g23281_i0
44	NODE_43268_length_547_cov_436.376984_g28247_i0
45	NODE_37420_length_714_cov_3715.320417_g23437_i0
46	NODE_21266_length_1318_cov_420.167059_g13063_i0
47	NODE_41503_length_595_cov_845.407609_g18293_i2
48	NODE_12893_length_1787_cov_1838.247706_g5588_i4
49	NODE_17973_length_1484_cov_511.437196_g11122_i0
50	NODE_17974_length_1484_cov_510.761971_g11122_i1
51	NODE_18819_length_1439_cov_443.669054_g11630_i0
52	NODE_31224_length_916_cov_571.404353_g19072_i0
53	NODE_38307_length_687_cov_2854.395963_g24103_i0
54	NODE_23671_length_1212_cov_323.042772_g507_i2
55	NODE_14535_length_1677_cov_318.499388_g6302_i2
56	NODE_46775_length_461_cov_264.624402_g31598_i0
57	NODE_12512_length_1814_cov_1843.830604_g6411_i2
58	NODE_48309_length_428_cov_1555.680519_g33111_i0
59	NODE_24462_length_1177_cov_263.815697_g13834_i1
60	NODE_35345_length_776_cov_1901.178718_g21892_i0
61	NODE_27253_length_1064_cov_3758.840353_g16608_i0
62	NODE_15841_length_1601_cov_416.802953_g1292_i2
63	NODE_31689_length_899_cov_410.827103_g11418_i4
64	NODE_6655_length_2355_cov_409.028114_g1425_i4
65	NODE_33692_length_831_cov_835.917513_g12204_i1
66	NODE_36350_length_745_cov_1524.804843_g22623_i0
67	NODE_12460_length_1818_cov_234.687324_g4248_i1
68	NODE_35447_length_773_cov_1380.652055_g21967_i0
69	NODE_31328_length_912_cov_1144.907940_g15670_i1
70	NODE_2569_length_3192_cov_494.790727_g1655_i1
71	NODE_8475_length_2148_cov_642.390024_g5380_i0
72	NODE_31510_length_906_cov_246.988413_g19261_i0
73	NODE_26933_length_1077_cov_251.676983_g16412_i0
74	NODE_1018_length_4013_cov_227.603275_g678_i0
75	NODE_6139_length_2421_cov_1007.025231_g2232_i1
76	NODE_25270_length_1144_cov_611.584015_g15430_i0
77	NODE_30376_length_944_cov_2265.840178_g14897_i1
78	NODE_31552_length_904_cov_563.789779_g19072_i1
79	NODE_8986_length_2098_cov_305.033577_g5702_i0
80	NODE_30524_length_939_cov_923.437500_g18651_i0
81	NODE_7205_length_2286_cov_354.069104_g2248_i1
82	NODE_11180_length_1912_cov_472.993044_g2427_i5
83	NODE_26880_length_1079_cov_563.455598_g15076_i1
84	NODE_31745_length_897_cov_2132.223653_g19419_i0
85	NODE_25347_length_1141_cov_965.683060_g14519_i1
86	NODE_36310_length_746_cov_202.769559_g22594_i0
87	NODE_3708_length_2861_cov_322.227111_g1888_i1
88	NODE_36951_length_727_cov_1447.160819_g23080_i0
89	NODE_24335_length_1182_cov_533.041264_g14858_i0
90	NODE_4160_length_2762_cov_327.159618_g1453_i1
91	NODE_19837_length_1387_cov_272.506696_g1151_i1
92	NODE_27091_length_1071_cov_1494.834630_g15522_i1
93	NODE_33106_length_852_cov_559.995056_g20323_i0
94	NODE_23414_length_1223_cov_1489.055085_g5974_i2
95	NODE_13299_length_1760_cov_460.525335_g8306_i0
96	NODE_6776_length_2339_cov_303.216028_g1467_i1
97	NODE_13552_length_1742_cov_417.416716_g3092_i2
98	NODE_9615_length_2040_cov_305.439659_g6100_i0
99	NODE_26423_length_1097_cov_509.072106_g16132_i0
100	NODE_17257_length_1523_cov_177.567568_g1736_i1
101	NODE_36447_length_742_cov_219.688126_g22695_i0
102	NODE_26533_length_1093_cov_868.701905_g8416_i2
103	NODE_12698_length_1800_cov_635.972681_g3796_i2
104	NODE_27167_length_1068_cov_465.103415_g16557_i0
105	NODE_7686_length_2232_cov_319.641846_g2260_i6
106	NODE_18179_length_1473_cov_86.237063_g11231_i0
107	NODE_36773_length_733_cov_1566.420290_g22948_i0
108	NODE_7285_length_2278_cov_328.292170_g609_i2
109	NODE_7846_length_2216_cov_178.610676_g3736_i2
110	NODE_14352_length_1690_cov_142.222222_g8942_i0
111	NODE_19787_length_1389_cov_533.023774_g8047_i1
112	NODE_17810_length_1493_cov_244.595862_g5766_i2
